Name,Port,Protocol,Popularity,Description
sip,5060,tcp,0.010613,Session Initiation Protocol (SIP)
bgp,179,tcp,0.010538,Border Gateway Protocol
radacct,1813,udp,0.010429,RADIUS accounting protocol (RFC 2139)
nterm,1026,tcp,0.010237,cap | nterm remote_login network_terminal | Calendar Access Protocol
srv,158,udp,0.010148,PCMail Server
sccp,2000,tcp,0.010112,cisco SCCP (Skinny Client Control Protocol) | Cisco SCCP | Cisco SCCp
alt,8443,tcp,0.009986,pcsync-https | Common alternative https port | PCsync HTTPS
alt,8000,tcp,0.00971,irdmi | A common alternative http port | iRDMI
3,3703,udp,0.00958,Adobe Server 3
qotd,17,udp,0.009209,Quote of the Day
tms,32768,tcp,0.009199,Filenet TMS
upnp,5000,udp,0.008913,also complex-main
rpc6,32771,udp,0.00849,Sometimes an RPC port on my Solaris box (rusersd)
rtsp,554,tcp,0.008104,Real Time Stream Control Protocol | Real Time Streaming Protocol (RTSP)
iad1,1030,udp,0.008007,BBN IAD
s,1433,tcp,0.007929,Microsoft-SQL-Server
rmcp,623,udp,0.007929,ASF Remote Management and Control
exp2,1022,udp,0.007929,RFC3692-style Experiment 2 (*)    [RFC4727]
rpc,32769,udp,0.007768,Filenet RPC
ndmp,10000,udp,0.007598,Network Data Management Protocol
dc,2001,tcp,0.007339,wizard | or nfr20 web queries | curry
wsp,9200,udp,0.007268,WAP connectionless session services
printer,515,tcp,0.007214,spooler (lpd) | spooler
http,8008,tcp,0.006843,http-alt | IBM HTTP server | HTTP Alternate
rpc4,32770,udp,0.006745,Sometimes an RPC port on my Solaris box
IIS,1027,tcp,0.006724,6a44 | IPv6 Behind NAT44 CPEs
iad3,1032,udp,0.006705,BBN IAD
lockd,4045,udp,0.006656,NFS lock daemon/manager
iad2,1031,udp,0.006639,BBN IAD
nrpe,5666,tcp,0.006614,Nagios NRPE | Nagios Remote Plugin Executor
ldp,646,tcp,0.006549,Label Distribution
time,37,udp,0.006458,timserver
av,2967,udp,0.006425,Symantec AntiVirus (rtvscan.exe)
upnp,5000,tcp,0.006423,"commplex-main | Universal PnP, also Free Internet Chess Server"
icq,4000,udp,0.006392,AOL ICQ instant messaging clent-server communication
sasl,3659,udp,0.006277,Apple SASL
data,989,udp,0.006277,"ftp protocol, data, over TLS/SSL"
rfa,4672,udp,0.006227,remote file access server
ipp,631,tcp,0.00616,ipps | Internet Printing Protocol -- for one implementation see http://www.cups.org (Common UNIX Printing System) | IPP (Internet Printing Protocol) | Internet Printing Protocol over HTTPS
icecap,8081,tcp,0.006147,sunproxyadmin | ICECap user console | Sun Proxy Admin Service
nfs,2049,tcp,0.00611,networked file system
sec,88,tcp,0.006072,kerberos | Kerberos (v5) | Kerberos
http,5800,tcp,0.005947,"Virtual Network Computer HTTP Access, display 0"
ucl,2148,udp,0.005946,Veritas Universal Communication Layer
pop3pw,106,tcp,0.005934,3com-tsmux | Eudora compatible PW changer | 3COM-TSMUX
ftp,2121,tcp,0.005834,scientia-ssdb | CCProxy FTP Proxy | SCIENTIA-SSDB
status,1110,tcp,0.005809,nfsd-keepalive | webadmstart | Cluster status info | Start web admin server | Client status info
X11,6000,tcp,0.005683,X Window server
login,513,tcp,0.005595,"who | BSD rlogind(8) | remote login a la telnet; automatic authentication performed based on priviledged port numbers and distributed data bases which identify ""authentication domains"" | maintains data bases showing who's logged in to machines on a local net and the load average of the machine"
amanda,10080,udp,0.005585,Amanda Backup Util
ftps,990,tcp,0.00557,"ftp protocol, control, over TLS/SSL"
wsdapi,5357,tcp,0.005474,Web Services for Devices
svrloc,427,tcp,0.005382,Server Location
rpc8,32772,udp,0.005352,Sometimes an RPC port on my Solaris box (status)
nameserver,42,udp,0.005288,Host Name Server
klogin,543,tcp,0.005282,Kerberos (v4/v5)
kshell,544,tcp,0.005269,krcmd Kerberos (v4/v5) | krcmd
notify,1034,udp,0.005173,Windows Mobile device ActiveSync Notifications
admdog,5101,tcp,0.005156,talarian-udp | talarian-tcp | (chili!soft asp) | Talarian_TCP | Talarian_UDP
news,144,tcp,0.004981,uma | NewS window system | Universal Management Architecture
server,3389,udp,0.004955,"Microsoft Remote Display Protocol (aka ms-term-serv, microsoft-rdp)"
gnutella,6346,udp,0.004893,Gnutella file sharing protocol
ftp,21,udp,0.004844,File Transfer [Control]
talk,517,udp,0.004794,BSD talkd(8)
instl_bootc,1068,udp,0.004778,Installation Bootstrap Proto. Cli.
ldap,389,tcp,0.004717,Lightweight Directory Access Protocol
ajp13,8009,tcp,0.004642,nvme-disc | Apache JServ Protocol 1.3 | NVMe over Fabrics Discovery Service
fpitp,1045,udp,0.004625,Fingerprint Image Transfer Protocol
ak2,1041,udp,0.004625,AK2 Product
ftps,990,udp,0.004625,"ftp protocol, control, over TLS/SSL"
keysrvr,19283,udp,0.004575,Key Server for SASSAFRAS
http,3128,tcp,0.004516,ndl-aas | Active API Server Port
sd,9876,udp,0.004498,Session Director
snpp,444,tcp,0.004466,Simple Network Paging Protocol
sygatefw,39213,udp,0.004446,Sygate Firewall management port version 3.0 build 521 and above
abyss,9999,tcp,0.004441,Abyss web server remote web management interface | distinct
admin,5009,tcp,0.004416,winfs | Apple AirPort WAP Administration | Microsoft Windows Filesystem
realserver,7070,tcp,0.004328,arcp | ARCP
kpasswd5,464,udp,0.0043,Kerberos (v5)
ldap,389,udp,0.0043,Lightweight Directory Access Protocol
mtqp,1038,udp,0.004295,Message Tracking Query Protocol
sbl,1039,udp,0.004295,Streamlined Blackhole
nsstp,1036,udp,0.004295,Nebula Secure Segment Transfer Protocol
srv3,1419,udp,0.004267,Timbuktu Service 3 Port
aol,5190,tcp,0.00419,America-Online.  Also can be used by ICQ | America-Online
nms,192,udp,0.004168,OSU Network Monitoring System
ppp,3000,tcp,0.004115,"remoteware-cl | hbci | User-level ppp daemon, or chili!soft asp | HBCI | RemoteWare Client"
postgresql,5432,tcp,0.00409,PostgreSQL database server | PostgreSQL Database
ws_ethd,3986,tcp,0.003977,mapper-ws-ethd | MAPPER workstation server
upnp,1900,tcp,0.003977,ssdp | Universal PnP | SSDP
local,1033,udp,0.003964,local netinfo port
ssh,22,udp,0.003905,Secure Shell Login
lsa,1029,tcp,0.003801,solid-mux | Solid Mux Server
discard,9,tcp,0.003764,sink null
agent,5051,tcp,0.003649,ita-agent | Symantec Intruder Alert | ITA Agent
exp1,1021,udp,0.003634,RFC3692-style Experiment 1 (*)    [RFC4727]
boinc,1043,udp,0.003493,BOINC Client Control
rsync,873,tcp,0.0034,Rsync server ( http://rsync.samba.org )
wms,1755,tcp,0.00335,Windows media service | ms-streaming
requester,2717,tcp,0.003345,PN REQUESTER
radmin,4899,tcp,0.003337,radmin-port | Radmin (www.radmin.com) remote PC control software | RAdmin Port
dcutility,1044,udp,0.003304,Dev Consortium Utility
lm,5093,udp,0.003304,Sentinel LM
vrtstrapserver,1885,udp,0.003304,Veritas Trap Server
postman,1049,udp,0.003304,Tobit David Postman VPMN
3052,3052,udp,0.003304,APC 3052
jetdirect,9100,tcp,0.003287,pdl-datastream | hp-pdl-datastr | HP JetDirect card | PDL Data Streaming Port | Printer PDL Data Stream
nntp,119,tcp,0.003262,Network News Transfer Protocol
rpc10,32773,udp,0.003238,Sometimes an RPC port on my Solaris box (rquotad)
time,37,tcp,0.003161,timserver
cadlock,1000,tcp,0.003149,cadlock2
nessus,3001,tcp,0.003124,origo-native | Nessus Security Scanner (www.nessus.org) Daemon or chili!soft asp | OrigoDB Server Native Interface
auth,113,udp,0.003031,"ident, tap, Authentication Service"
sophos,8193,udp,0.002973,Sophos Remote Management System
neod1,1047,udp,0.002973,Sun's NEO Object Request Broker
portmapper,685,udp,0.002973,MDC Port Mapper
wismar,686,udp,0.002973,Hardware Control Protocol Wismar
leoip,1886,udp,0.002973,Leonardo over IP
node,782,udp,0.002933,hp performance data managed node
xfer,82,tcp,0.002923,XFER Utility
rxapi,10010,tcp,0.002889,ooRexx rxapi services
iad1,1030,tcp,0.00286,BBN IAD
rpc12,32774,udp,0.002819,Sometimes an RPC port on my Solaris box (rusersd)
admin,9090,tcp,0.002747,websm | Zeus admin server | WebSM
mgmt,2107,tcp,0.002737,bintec-admin | Microsoft Message Queuing (IANA calls this bintec-admin) | BinTec Admin
kdm,1024,tcp,0.002722,K Display Manager (KDE version of xdm)
rpc14,32775,udp,0.002668,Sometimes an RPC port on my Solaris box (status)
clt,2103,tcp,0.002661,Zephyr serv-hm connection
9950,9950,udp,0.002643,APC 9950
collector,781,udp,0.002636,hp performance data collector
mmcc,5050,udp,0.002636,multimedia conference control tool
4,6004,tcp,0.002597,X Window server
msmq,1801,tcp,0.002585,Microsoft Message Queuing | Microsoft Message Que
rpc22,32779,udp,0.002584,Sometimes an RPC port on my Solaris box
mmcc,5050,tcp,0.002584,multimedia conference control tool
chargen,19,tcp,0.002559,ttytst source Character Generator | Character Generator
rfe,5002,udp,0.002504,Radio Free Ethernet
ak2,1041,tcp,0.002433,AK2 Product
halflife,27015,udp,0.002432,Half-life game server
neod2,1048,tcp,0.002357,Sun's NEO Object Request Broker
postman,1049,tcp,0.002357,Tobit David Postman VPMN
3,3703,tcp,0.002357,Adobe Server 3
av,2967,tcp,0.002357,ssc-agent | Symantec AntiVirus (rtvscan.exe) | SSC-AGENT
as,1053,tcp,0.002357,Remote Assistant (RA)
filemaker,5003,udp,0.002356,Filemaker Server - http://www.filemaker.com/ti/104289.html
qotd,17,tcp,0.002346,Quote of the Day
fileserver,7000,udp,0.002339,file server itself
who,513,udp,0.002323,BSD rwhod(8)
fms,1090,udp,0.002313,FF Fieldbus Message Specification
ssl,684,udp,0.002313,CORBA IIOP SSL
sd,9103,udp,0.002313,Bacula Storage Daemon
neod2,1048,udp,0.002313,Sun's NEO Object Request Broker
http,808,tcp,0.002296,CCProxy HTTP/Gopher/FTP (over HTTP) proxy
rendezvous,3689,tcp,0.002283,daap | Rendezvous Zeroconf (used by Apple/iTunes) | Digital Audio Access Protocol (iTunes)
rpc18,32777,udp,0.002282,Sometimes an RPC port on my Solaris box (walld)
ldp,539,udp,0.002274,Apertus Technologies Load Determination
phonebook,767,udp,0.002257,phone
bo2k,54321,udp,0.002246,Back Orifice 2K Default Port
snmp,3401,udp,0.002241,Squid proxy SNMP port
iad2,1031,tcp,0.002221,BBN IAD
mcidas,112,udp,0.002208,McIDAS Data Transmission Protocol
dcutility,1044,tcp,0.002205,Dev Consortium Utility
1,5901,tcp,0.002145,Virtual Network Computer display 1
biff,512,udp,0.002142,comsat
gnutella2,6347,udp,0.002142,Gnutella2 file sharing protocol
newacct,100,tcp,0.002133,[unauthorized use]
jetdirect,9102,tcp,0.002133,bacula-fd | HP JetDirect card. Also used (and officially registered for) Bacula File Daemon (an open source backup system) | Bacula File Daemon
xmpp,8010,tcp,0.002129,XMPP File Transfer
bbs,5120,tcp,0.002129,Barracuda Backup Protocol
icslap,2869,tcp,0.002129,"Universal Plug and Play Device Host, SSDP Discovery Service"
sbl,1039,tcp,0.002129,Streamlined Blackhole
eklogin,2105,tcp,0.00212,minipay | Kerberos (v4) encrypted rlogin | MiniPay
ldapssl,636,tcp,0.002083,ldaps | LDAP over SSL | ldap protocol over TLS/SSL (was sldap)
candp,42508,udp,0.002071,Computer Associates network discovery protocol
directplaysrvr,47624,udp,0.002071,Direct Play Server
mtqp,1038,tcp,0.002053,Message Tracking Query Protocol
rap,38,udp,0.002043,Route Access Protocol
zebra,2601,tcp,0.002032,discp-client | zebra vty | discp client
rpc16,32776,udp,0.002013,Sometimes an RPC port on my Solaris box (sprayd)
fileserver,7000,tcp,0.001995,"file server itself, msdos | file server itself"
tcpmux,1,tcp,0.001995,TCP Port Service Multiplexer [rfc-1078] | TCP Port Service Multiplexer
dbase,217,udp,0.001993,dBASE Unix
rpc1,1012,udp,0.001993,This is rstatd on my openBSD box
rusd,688,udp,0.001982,ApplianceWare managment protocol
a,1901,udp,0.001982,Fujitsu ICL Terminal Emulator Program A
mxxrlogin,1035,udp,0.001982,MX-XR RPC
ra,829,udp,0.001982,PKIX-3 CA/RA
netarx,1040,udp,0.001982,Netarx Netcare
afrog,1042,udp,0.001982,Subnet Roaming
door,902,udp,0.001982,self documenting Door: send 0x00 for info
2160,2160,udp,0.001982,APC 2160
discovery,3702,udp,0.001982,Web Service Discovery
tunnel,8001,udp,0.001982,VCOM Tunnel
lm,1346,udp,0.001928,Alta Analytics License Manager
data,20,udp,0.001878,File Transfer [Default Data]
admin,625,tcp,0.001869,dec_dlm | dec-dlm | Apple Mac Xserver admin | DEC DLM
webadmin,311,tcp,0.001857,appleshare ip webadmin | AppleShare IP WebAdmin
compressnet,2,udp,0.001845,Management Utility
rpc24,32780,udp,0.001812,Sometimes an RPC port on my Solaris box
fasttrack,1214,udp,0.001796,Kazaa File Sharing
remoteanything,4000,tcp,0.001794,terabase | neoworx remote-anything remote control | Terabase
port,1993,udp,0.001779,cisco SNMP TCP port
filemaker,5003,tcp,0.001756,"fmpro-internal | Filemaker Server - http://www.filemaker.com/ti/104289.html | FileMaker, Inc. - Proprietary transport | FileMaker, Inc. - Proprietary name binding"
rc,1761,tcp,0.001756,LANDesk Remote Control | cft-0
deslogin,2005,tcp,0.001731,oracle | berknet | encrypted symmetric telnet/login
port,1998,tcp,0.001731,cisco X.25 service (XOT)
genie,402,udp,0.00173,Genie Protocol
iad3,1032,tcp,0.001719,BBN IAD
Trinoo_Register,31335,udp,0.001706,Trinoo distributed attack tool Bcast Daemon registration port
OTGfileshare,1050,tcp,0.001669,"cma | J2EE nameserver, also OTG, also called Disk/Application extender. Could also be MiniCommand backdoor OTGlicenseserv | CORBA Management Agent"
dtspc,6112,tcp,0.001656,dtspcd | CDE subprocess control | Desk-Top Sub-Process Control Daemon
x11,6050,udp,0.001652,X Window System
panic,903,udp,0.001652,self documenting Panic Door: send 0x00 for info
agent,1234,udp,0.001652,Infoseek Search Agent
hpvmmcontrol,1124,udp,0.001652,HP VMM Control
etlservicemgr,9001,udp,0.001652,ETL Service Manager
wfremotertm,1046,udp,0.001652,WebFilter Remote Monitor
logos,2343,udp,0.001652,nati logos
cma,1050,udp,0.001652,CORBA Management Agent
as,1053,udp,0.001652,Remote Assistant (RA)
engine,3664,udp,0.001652,UPS Engine Port
ingreslock,1524,udp,0.001647,ingres
svn,3690,tcp,0.001597,Subversion
rpc20,32778,udp,0.001577,Sometimes an RPC port on my Solaris box (rstatd)
oracle,1521,tcp,0.001568,ncube-lm | Oracle Database | nCube License Manager
Trinoo_Bcast,27444,udp,0.001554,Trinoo distributed attack tool Master
bacnet,47808,udp,0.001554,Building Automation and Control Networks
confluent,1484,udp,0.001549,Confluent License Manager
compressnet,3,udp,0.001532,Compression Process
agent,2161,tcp,0.001521,apc-2161 | American Power Conversion | APC 2161
2,6002,tcp,0.001518,X Window server
instl_boots,1067,udp,0.001516,Installation Bootstrap Proto. Serv.
cvspserver,2401,tcp,0.00148,CVS network server
realsecure,902,tcp,0.001468,ideafarm-door | ISS RealSecure Sensor | self documenting Telnet Door | self documenting Door: send 0x00 for info
lockd,4045,tcp,0.001468,npp | Network Paging Protocol
nsrexecd,7937,tcp,0.001455,Legato NetWorker
edonkey,4666,udp,0.00145,eDonkey file sharing (Donkey)
control,3457,udp,0.001433,VAT default control
lm,1455,udp,0.001417,ESL License Manager
olap4,2383,tcp,0.001369,MS OLAP 4 | Microsoft OLAP
netcheque,4008,udp,0.001367,NetCheque accounting
rpc5,32771,tcp,0.001367,filenet-rmi | Sometimes an RPC port on my Solaris box (rusersd) | FileNET RMI | FileNet RMI
7,207,udp,0.001351,AppleTalk Unused
netinfo,1033,tcp,0.001342,netinfo-local | Netinfo is apparently on many OS X boxes. | local netinfo port
netsaint,1040,tcp,0.001342,netarx | Netsaint status daemon | Netarx Netcare
lm,1457,udp,0.001334,Valisys License Manager
cds1,8900,udp,0.001321,JMB-CDS 1
2161,2161,udp,0.001321,APC 2161
slm,3296,udp,0.001321,Rib License Manager
net,3343,udp,0.001321,MS Cluster Net
al,1088,udp,0.001321,CPL Scrambler Alarm Log
in,1087,udp,0.001321,CPL Scrambler Internal
mbap,502,udp,0.001318,Modbus Application Protocol
db2,50000,tcp,0.001317,(also Internet/Intranet Input Method Server Framework?)
irtrans,21000,udp,0.001307,IRTrans Control
lm,27007,udp,0.001307,FLEX LM (1-10)
lm,27002,udp,0.001307,FLEX LM (1-10)
kingdomsonline,30260,udp,0.001307,Kingdoms Online (CraigAvenue)
cs,21847,udp,0.001307,NetSpeak Corp. Connection Services
keyshadow,19315,udp,0.001307,Key Shadow for SASSAFRAS
necmp,18888,udp,0.001307,APCNECMP
tvpm,21800,udp,0.001307,TVNC Pro Multiplexing
zep,17754,udp,0.001307,Encap. ZigBee Packets
jcp,19541,udp,0.001307,JCP Client
https,20003,udp,0.001307,Commtact HTTPS
freeciv,5555,tcp,0.001305,personal-agent | Personal Agent
dtmgr,617,udp,0.001302,SCO Desktop Administration Server
dis,393,udp,0.001302,Data Interpretation System
config,10001,tcp,0.001292,SCP Configuration
auth,56,udp,0.001285,XNS Authentication
smtp,25,udp,0.001285,Simple Mail Transfer
aurp,387,udp,0.001285,Appletalk Update-Based Routing Pro.
kerberos,750,udp,0.001269,kdc Kerberos (v4)
ica,1494,tcp,0.001255,ica
mon,198,udp,0.001252,Directory Location Service Monitor
compressnet,3,tcp,0.001242,Compression Process
epmap,593,tcp,0.001242,HTTP RPC Ep Map
compaqdiag,2301,tcp,0.001242,cpq-wbem | Compaq remote diagnostic/management | Compaq HTTP
1,1083,udp,0.001236,Anasoft License Manager
tcpmux,1,udp,0.001236,TCP Port Service Multiplexer
globalcatLDAP,3268,tcp,0.001229,msft-gc | Global Catalog LDAP | Microsoft Global Catalog
lgtomapper,7938,tcp,0.001229,Legato portmapper
tablet,1400,udp,0.001219,Cadkey Tablet Daemon
exp2,1022,tcp,0.001217,RFC3692-style Experiment 2 (*)    [RFC4727] | RFC3692-style Experiment 2
hotline,1234,tcp,0.001217,search-agent | Infoseek Search Agent
warmspotMgmt,1074,tcp,0.001216,Warmspot Management Protocol
teradataordbms,8002,tcp,0.001216,Teradata ORDBMS
orport,9001,tcp,0.001216,etlservicemgr | Tor ORPort | ETL Service Manager
nsstp,1036,tcp,0.001216,Nebula Secure Segment Transfer Protocol
multidropper,1035,tcp,0.001216,"mxxrlogin | A Multidropper Adware, or PhoneFree | MX-XR RPC"
net,134,udp,0.001203,INGRES-NET Service
spc,6111,udp,0.001203,HP SoftBench Sub-Process Control
dev,83,udp,0.001203,MIT ML Device
kpasswd5,464,tcp,0.001192,Kerberos (v5) | kpasswd
rpc26,32786,udp,0.001191,Sometimes an RPC port
sme,484,udp,0.001186,Integra Software Management Environment
wizard,2001,udp,0.001186,curry
retrospect,497,tcp,0.001179,Retrospect backup and restore service
irc,6666,tcp,0.001179,internet relay chat server
finger,2003,tcp,0.001179,brutus | GNU finger (cfingerd) | Brutus Server
rtmp,1935,tcp,0.001179,macromedia-fcs | Macromedia FlasComm Server | Macromedia Flash Communications Server MX | Macromedia Flash Communications server MX
service,7100,udp,0.00117,X Font Service
rwho,550,udp,0.00117,new-who
mythtv,6543,tcp,0.001167,lds-distrib | lds_distrib
hexen2,26900,udp,0.001166,Hexen 2 game server
dbbrowse,47557,udp,0.001158,Databeam Corporation
mail,24,tcp,0.001154,any private mail system
lotusnotes,1352,tcp,0.001154,lotusnote | Lotus Note
uaac,145,udp,0.001153,UAAC Protocol
globalcatLDAPssl,3269,tcp,0.001142,msft-gc-ssl | Global Catalog LDAP over ssl | Microsoft Global Catalog with LDAP/SSL
lmsocialserver,1111,tcp,0.00114,LM Social Server
cm,748,udp,0.00112,Russell Info Sci Calendar Manager
nip,376,udp,0.00112,Amiga Envoy Network Inquiry Proto
dtcns,1514,udp,0.00112,"Fujitsu Systems Business of America, Inc"
pop3,110,udp,0.001104,PostOffice V.3
data,20,tcp,0.001079,File Transfer [Default Data]
ftp,47,udp,0.001071,NI FTP
srv,170,udp,0.001071,Network PostScript
lm,6146,udp,0.001071,Lone Wolf Systems License Manager
invokator,2006,tcp,0.001066,raid-cd | raid
a,1034,tcp,0.001064,activesync | Zincite.A backdoor | ActiveSync Notifications
hydap,15000,tcp,0.001064,Hypack Hydrographic Software Packages Data Acquisition | Hypack Data Aquisition
ads,1218,tcp,0.001064,AeroFlight ADs
iscsi,3260,tcp,0.001064,iscsi-target | iSCSI port
krb524,4444,tcp,0.001041,nv-video | Kerberos 5 to 4 ticket xlator | NV Video default
eportal,37654,udp,0.001036,Unisys ClearPath ePortal
rmtsys,7009,udp,0.001021,remote cache manager service
rwhois,4321,udp,0.001021,Remote Who Is
mailbox,2004,tcp,0.001016,emce | CCWS mm conf
dsp,33,tcp,0.001016,Display Support Protocol
dlswpn,2067,udp,0.001005,Data Link Switch Write Port Number
callback,7001,udp,0.001005,callbacks to cache managers
ns,81,udp,0.001005,HOSTS2 Name Server
admin,4039,udp,0.000991,Fazzt Administration
pop3s,995,udp,0.000991,pop3 protocol over TLS/SSL (was spop3)
q,3527,udp,0.000991,VERITAS Backup Exec Server
ctrl,3569,udp,0.000991,Meinberg Control Service
caster,3574,udp,0.000991,DMAF Caster
deepspace,1113,udp,0.000991,Licklider Transmission Protocol
v3,2164,udp,0.000991,Dynamic DNS Version 3
svnetworks,2973,udp,0.000991,SV Networks
sddp,1163,udp,0.000991,SmartDialer Data Protocol
famdc,10081,udp,0.000991,FAM Archive Server
entextmed,12003,udp,0.000991,IBM Enterprise Extender SNA COS Medium Priority
iclcnet_svinfo,887,udp,0.000991,ICL coNETion server info
boks_clntd,6503,udp,0.000991,BoKS Clntd
sonardata,2863,udp,0.000991,Sonar Data
rmiactivation,1098,udp,0.000991,RMI Activation
upd,2053,udp,0.000991,Lot105 DSuper Updates
routematch,1287,udp,0.000991,RouteMatch Com
state,4047,udp,0.000991,Context Transfer Protocol
https,7677,udp,0.000991,Sun App Server - HTTPS
7846,7846,udp,0.000991,APC 7846
agent,1862,udp,0.000991,MySQL Cluster Manager Agent
ddt,1052,udp,0.000991,Dynamic DNS tools
websrvrmgr,620,udp,0.000991,SCO WebServer Manager
evm,619,udp,0.000991,Compaq EVM
pds,9595,udp,0.000991,Ping Discovery System
mtn,4691,udp,0.000991,monotone Netsync Protocol
sserver,8207,udp,0.000991,LM SServer
caerpc,42510,tcp,0.000988,CA eTrust RPC
afrog,1042,tcp,0.000988,Subnet Roaming
